diag,diag_description
E927,Overexertion and strenuous and repetitive movements or loads
E917,Striking against or struck accidentally by objects or persons
V16,Family history of malignant neoplasm
E850,"Accidental poisoning by analgesics, antipyretics, and antirheumatics"
E822,Other motor vehicle nontraffic accident involving collision with moving object
E894,Ignition of highly inflammable material
E946,"Agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs"
E966,Assault by cutting and piercing instrument
235,
911,
915,
752,
433,Occlusion and stenosis of precerebral arteries
185,Malignant neoplasm of prostate
277,Other and unspecified disorders of metabolism
462,Acute pharyngitis
625,Pain and other symptoms associated with female genital organs
558,Other and unspecified noninfectious gastroenteritis and colitis
722,Intervertebral disc disorders
724,Other and unspecified disorders of back
999,"Complications of medical care, not elsewhere classified"
593,Other disorders of kidney and ureter
807,"Fracture of rib(s), sternum, larynx, and trachea"
244,Acquired hypothyroidism
648,"Other current conditions in the mother classifiable elsewhere, but complicating pregnancy, childbirth, or the puerperium"
435,Transient cerebral ischemia
250.6,Diabetes with neurological manifestations
493,Asthma
599,Other disorders of urethra and urinary tract
995,Certain adverse effects not elsewhere classified
457,Noninfectious disorders of lymphatic channels
220,Benign neoplasm of ovary
227,Benign neoplasm of other endocrine glands and related structures
218,Uterine leiomyoma
426,Conduction disorders
337,Disorders of the autonomic nervous system
286,Coagulation defects
183,Malignant neoplasm of ovary and other uterine adnexa
424,Other diseases of endocardium
358,Myoneural disorders
345,Epilepsy and recurrent seizures
799,Other ill-defined and unknown causes of morbidity and mortality
158,Malignant neoplasm of retroperitoneum and peritoneum
413,Angina pectoris
359,Muscular dystrophies and other myopathies
968,Poisoning by other central nervous system depressants and anesthetics
868,Injury to other intra-abdominal organs
368,Visual disturbances
355,Mononeuritis of lower limb
250.3,Diabetes with other coma
580,Acute glomerulonephritis
664,Trauma to perineum and vulva during delivery
942,Burn of trunk
007,Other protozoal intestinal diseases
600,Hyperplasia of prostate
494,Bronchiectasis
646,"Other complications of pregnancy, not elsewhere classified"
374,Other disorders of eyelids
465,Acute upper respiratory infections of multiple or unspecified sites
461,Acute sinusitis
362,Other retinal disorders
353,Nerve root and plexus disorders
155,Malignant neoplasm of liver and intrahepatic bile ducts
616,"Inflammatory disease of cervix, vagina, and vulva"
989,"Toxic effect of other substances, chiefly nonmedicinal as to source"
695,Erythematous conditions
187,Malignant neoplasm of penis and other male genital organs
846,Sprains and strains of sacroiliac region
747,Other congenital anomalies of circulatory system
164,"Malignant neoplasm of thymus, heart, and mediastinum"
V71,Observation and evaluation for suspected conditions not found
136,Other and unspecified infectious and parasitic diseases
793,Nonspecific abnormal findings on radiological and other examination of body structure
195,Malignant neoplasm of other and ill-defined sites
945,Burn of lower limb(s)
215,Other benign neoplasm of connective and other soft tissue
384,Other disorders of tympanic membrane
142,Malignant neoplasm of major salivary glands
246,Other disorders of thyroid
036,Meningococcal infection
941,"Burn of face, head, and neck"
657,Polyhydramnios
279,Disorders involving the immune mechanism
381,Nonsuppurative otitis media and Eustachian tube disorders
E924,"Accident caused by hot substance or object, caustic or corrosive material, and steam"
E942,Agents primarily affecting the cardiovascular system
947,Burn of internal organs
111,"Dermatomycosis, other and unspecified"
E941,Drugs primarily affecting the autonomic nervous system
712,Crystal arthropathies
741,Spina bifida
755,Other congenital anomalies of limbs
908,Late effects of other and unspecified injuries
811,Fracture of scapula
269,Other nutritional deficiencies
232,Carcinoma in situ of skin
948,Burns classified according to extent of body surface involved
E818,Other noncollision motor vehicle traffic accident
V03,Need for prophylactic vaccination and inoculation against bacterial diseases
E821,Nontraffic accident involving other off-road motor vehicle
268,Vitamin D deficiency
260,Kwashiorkor
894,Multiple and unspecified open wound of lower limb
525,Other diseases and conditions of the teeth and supporting structures
387,Otosclerosis
E904,"Hunger, thirst, exposure, and neglect"
243,Congenital hypothyroidism
E892,Conflagration not in building or structure
877,Open wound of buttock
876,Open wound of back
918,
